"(1, 0, 'cargocar')","(1, 0, 'etc')","(1, 0, 'motorcycle')","(1, 0, 'privatecar')","(1, 0, 'tot')","(1, 0, 'unknowncar')","(1, 1, 'cargocar')","(1, 1, 'etc')","(1, 1, 'motorcycle')","(1, 1, 'privatecar')","(1, 1, 'tot')","(1, 1, 'unknowncar')","(2, 0, 'cargocar')","(2, 0, 'etc')","(2, 0, 'motorcycle')","(2, 0, 'privatecar')","(2, 0, 'tot')","(2, 0, 'unknowncar')","(3, 0, 'cargocar')","(3, 0, 'etc')","(3, 0, 'motorcycle')","(3, 0, 'privatecar')","(3, 0, 'tot')","(3, 0, 'unknowncar')","(3, 1, 'cargocar')","(3, 1, 'etc')","(3, 1, 'motorcycle')","(3, 1, 'privatecar')","(3, 1, 'tot')","(3, 1, 'unknowncar')","('A', 2)","('A', 3)","('B', 1)","('B', 3)","('C', 1)","('C', 3)",date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,dayofweek,is_holiday
0,1.0,0,0,9.0,9.0,21.0,13.0,49.0,3.0,73.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,9.0,9.0,13.0,25.0,108.0,3.0,124.0,0,80.87666666666667,176.01,84.84,68.02000000000001,138.12,148.048679245283,2016-09-20 00:00:00,0,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0,1,0
0,0.0,0,0,5.0,5.0,17.0,12.0,40.0,9.0,66.0,0,0,0.0,0,0,0.0,0.0,0,2.0,0,0,8.0,8.0,8.0,34.0,94.0,5.0,107.0,0,42.79,75.285,82.96000000000001,90.86500000000001,135.79,149.00792452830188,2016-09-20 00:10:00,0,1013.2166666666667,1018.2166666666667,341.72222222222223,3.45,21.255555555555556,67.44444444444444,0.0,1,0
0,0.0,0,0,6.0,6.0,15.0,4.0,17.0,6.0,38.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0,0,5.0,5.0,8.0,24.0,61.0,4.0,73.0,0,45.675,76.439375,81.08,113.71000000000001,138.33434782608694,149.96716981132076,2016-09-20 00:20:00,0,1013.2333333333333,1018.2333333333333,342.44444444444446,3.4,21.41111111111111,66.88888888888889,0.0,1,0
0,0.0,0,0,7.0,7.0,9.0,7.0,24.0,9.0,42.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0,0,8.0,8.0,5.0,25.0,70.0,0.0,75.0,0,48.56,77.59375,79.2,136.555,140.87869565217392,150.92641509433963,2016-09-20 00:30:00,0,1013.25,1018.25,343.1666666666667,3.35,21.566666666666666,66.33333333333333,0.0,1,0
0,0.0,0,0,3.0,3.0,7.0,4.0,11.0,3.0,21.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0,0,8.0,8.0,4.0,13.0,45.0,2.0,51.0,0,51.445,78.748125,77.32000000000001,115.49666666666667,143.42304347826087,151.88566037735848,2016-09-20 00:40:00,0,1013.2666666666667,1018.2666666666667,343.8888888888889,3.3,21.72222222222222,65.77777777777777,0.0,1,0
0,1.0,0,0,4.0,4.0,3.0,3.0,11.0,2.0,16.0,0,0,1.0,0,0,1.0,1.0,0,0.0,0,0,9.0,9.0,6.0,12.0,32.0,3.0,41.0,0,54.33,79.9025,75.44,94.43833333333333,145.9673913043478,152.84490566037735,2016-09-20 00:50:00,0,1013.2833333333334,1018.2833333333334,344.6111111111111,3.25,21.87777777777778,65.22222222222223,0.0,1,0
0,1.0,0,0,3.0,3.0,2.0,0.0,2.0,0.0,4.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,5.0,5.0,2.0,0.0,2.0,0.0,4.0,0,53.19,81.05687499999999,73.56,73.38,148.51173913043476,153.80415094339622,2016-09-20 01:00:00,1,1013.3000000000001,1018.3000000000001,345.3333333333333,3.2,22.033333333333335,64.66666666666667,0.0,1,0
0,1.0,0,0,3.0,3.0,1.0,0.0,1.0,0.0,2.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,10.0,10.0,0.0,2.0,4.0,1.0,5.0,0,52.05,82.21124999999999,78.243,66.28,151.05608695652174,154.7633962264151,2016-09-20 01:10:00,1,1013.3166666666667,1018.3166666666667,346.05555555555554,3.15,22.18888888888889,64.11111111111111,0.0,1,0
0,1.0,0,0,3.0,3.0,4.0,0.0,2.0,0.0,6.0,0,0,1.0,0,0,1.0,1.0,0,1.0,0,0,8.0,8.0,1.0,0.0,6.0,0.0,7.0,0,50.91,83.365625,82.926,59.18,153.6004347826087,155.72264150943397,2016-09-20 01:20:00,1,1013.3333333333334,1018.3333333333334,346.77777777777777,3.1,22.344444444444445,63.55555555555556,0.0,1,0
0,0.0,0,0,2.0,2.0,1.0,0.0,1.0,0.0,2.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,6.0,6.0,1.0,1.0,2.0,0.0,3.0,0,53.556666666666665,84.52,87.609,52.08,156.14478260869564,156.68188679245281,2016-09-20 01:30:00,1,1013.35,1018.35,347.5,3.05,22.5,63.0,0.0,1,0
0,0.0,0,0,1.0,1.0,3.0,0.0,4.0,0.0,7.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,7.0,7.0,0.0,0.0,2.0,0.0,2.0,0,56.20333333333333,97.14,92.292,44.980000000000004,158.6891304347826,157.6411320754717,2016-09-20 01:40:00,1,1013.3666666666667,1018.3666666666667,348.22222222222223,3.0,22.655555555555555,62.44444444444444,0.0,1,0
0,1.0,0,0,4.0,4.0,0.0,1.0,4.0,0.0,4.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,11.0,11.0,2.0,1.0,1.0,0.0,3.0,0,58.85,109.76,96.975,37.88,161.23347826086956,158.60037735849056,2016-09-20 01:50:00,1,1013.3833333333333,1018.3833333333333,348.94444444444446,2.95,22.81111111111111,61.888888888888886,0.0,1,0
0,0.0,0,0,3.0,3.0,4.0,1.0,2.0,0.0,6.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,8.0,8.0,0.0,0.0,1.0,0.0,1.0,0,64.44666666666667,73.63499999999999,98.332,30.78,163.7778260869565,159.55962264150943,2016-09-20 02:00:00,2,1013.4,1018.4,349.6666666666667,2.9,22.966666666666665,61.333333333333336,0.0,1,0
