"(1, 1, 'tot')","(2, 0, 'tot')","(3, 0, 'tot')","(3, 1, 'tot')","('A', 2)","('A', 3)","('B', 1)","('B', 3)","('C', 1)","('C', 3)",hour,pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,dayofweek,is_holiday,timeofday
139.0,0.0,17.0,231.0,65.775,82.84,84.84,68.02,135.79,148.723703704,0,1013.2,341.0,3.5,21.1,68.0,0.0,1,0,0.0
80.0,2.0,13.0,148.0,60.0525,83.26,81.08,136.555,140.666666667,150.606666667,0,1013.23333333,342.444444444,3.4,21.4111111111,66.8888888889,0.0,1,0,0.333333333333
37.0,2.0,17.0,92.0,54.33,83.68,77.32,104.9675,145.543333333,152.48962963,0,1013.26666667,343.888888889,3.3,21.7222222222,65.7777777778,0.0,1,0,0.666666666667
6.0,0.0,15.0,9.0,52.62,84.1,73.56,73.38,150.42,154.372592593,1,1013.3,345.333333333,3.2,22.0333333333,64.6666666667,0.0,1,0,1.0
8.0,1.0,14.0,10.0,50.91,84.52,85.2675,59.18,155.296666667,156.255555556,1,1013.33333333,346.777777778,3.1,22.3444444444,63.5555555556,0.0,1,0,1.33333333333
11.0,0.0,18.0,5.0,58.85,109.76,96.975,44.98,160.173333333,158.138518519,1,1013.36666667,348.222222222,3.0,22.6555555556,62.4444444444,0.0,1,0,1.66666666667
8.0,0.0,12.0,4.0,67.245,73.635,99.2366666667,30.78,165.05,160.021481481,2,1013.4,349.666666667,2.9,22.9666666667,61.3333333333,0.0,1,0,2.0
12.0,0.0,17.0,4.0,75.64,64.84125,101.498333333,31.7225,169.926666667,161.904444444,2,1013.43333333,351.111111111,2.8,23.2777777778,60.2222222222,0.0,1,0,2.33333333333
8.0,0.0,13.0,8.0,59.8725,56.0475,103.76,32.665,174.803333333,163.787407407,2,1013.46666667,352.555555556,2.7,23.5888888889,59.1111111111,0.0,1,0,2.66666666667
2.0,0.0,7.0,6.0,44.105,47.25375,110.4075,33.6075,179.68,165.67037037,3,1013.5,354.0,2.6,23.9,58.0,0.0,1,0,3.0
13.0,0.0,8.0,3.0,46.01,38.46,117.055,34.55,184.556666667,167.553333333,3,1013.35555556,315.444444444,2.82222222222,24.2333333333,56.3333333333,0.0,1,0,3.33333333333
18.0,0.0,11.0,6.0,75.46,52.57,123.7025,70.31,189.433333333,169.436296296,3,1013.21111111,276.888888889,3.04444444444,24.5666666667,54.6666666667,0.0,1,0,3.66666666667
20.0,0.0,10.0,6.0,43.58,66.68,130.35,48.5,194.31,171.319259259,4,1013.06666667,238.333333333,3.26666666667,24.9,53.0,0.0,1,0,4.0
17.0,0.0,9.0,6.0,60.94,80.79,168.23,72.37,193.68,173.202222222,4,1012.92222222,199.777777778,3.48888888889,25.2333333333,51.3333333333,0.0,1,0,4.33333333333
20.0,0.0,11.0,4.0,47.32,84.0333333333,147.293333333,171.99,193.05,175.085185185,4,1012.77777778,161.222222222,3.71111111111,25.5666666667,49.6666666667,0.0,1,0,4.66666666667
27.0,5.0,12.0,12.0,48.64,87.2766666667,126.356666667,144.816666667,192.42,176.968148148,5,1012.63333333,122.666666667,3.93333333333,25.9,48.0,0.0,1,0,5.0
37.0,18.0,17.0,12.0,49.96,90.52,105.42,117.643333333,165.085,178.851111111,5,1012.48888889,84.1111111111,4.15555555556,26.2333333333,46.3333333333,0.0,1,0,5.33333333333
35.0,21.0,20.0,18.0,47.775,112.155,137.46,90.47,137.75,180.734074074,5,1012.34444444,45.5555555556,4.37777777778,26.5666666667,44.6666666667,0.0,1,0,5.66666666667
47.0,33.0,31.0,24.0,70.4825,99.305,169.5,119.465,166.56,182.617037037,6,1012.2,7.0,4.6,26.9,43.0,0.0,1,0,6.0
59.0,31.0,43.0,43.0,93.19,137.97,137.435,107.8775,114.48,184.5,6,1012.24444444,7.44444444444,4.58888888889,26.7333333333,42.8888888889,0.0,1,0,6.33333333333
69.0,54.0,80.0,66.0,41.09,105.305,105.37,96.29,112.21,165.74,6,1012.28888889,7.88888888889,4.57777777778,26.5666666667,42.7777777778,0.0,1,0,6.66666666667
88.0,79.0,113.0,83.0,71.14,102.21,133.82,95.2,162.19,146.98,7,1012.33333333,8.33333333333,4.56666666667,26.4,42.6666666667,0.0,1,0,7.0
126.0,86.0,141.0,97.0,55.66,136.34,96.92,131.075,154.725,190.233333333,7,1012.37777778,8.77777777778,4.55555555556,26.2333333333,42.5555555556,0.0,1,0,7.33333333333
139.0,93.0,136.0,122.0,56.325,106.26,122.33,80.6,147.26,233.486666667,7,1012.42222222,9.22222222222,4.54444444444,26.0666666667,42.4444444444,0.0,1,0,7.66666666667
132.0,112.0,145.0,154.0,59.72,121.38,147.74,125.25,139.38,276.74,8,1012.46666667,9.66666666667,4.53333333333,25.9,42.3333333333,0.0,1,0,8.0
151.0,111.0,173.0,209.0,49.52,117.15,179.67,99.55,154.76,222.4,8,1012.51111111,10.1111111111,4.52222222222,25.7333333333,42.2222222222,0.0,1,0,8.33333333333
131.0,112.0,154.0,210.0,82.31,120.41,164.115,95.37,174.91,168.06,8,1012.55555556,10.5555555556,4.51111111111,25.5666666667,42.1111111111,0.0,1,0,8.66666666667
150.0,105.0,144.0,191.0,67.69,119.5,141.49,140.17,182.125,113.72,9,1012.6,11.0,4.5,25.4,42.0,0.0,1,0,9.0
