"(1, 0, 'cargocar')","(1, 0, 'etc')","(1, 0, 'motorcycle')","(1, 0, 'privatecar')","(1, 0, 'tot')","(1, 0, 'unknowncar')","(1, 1, 'cargocar')","(1, 1, 'etc')","(1, 1, 'motorcycle')","(1, 1, 'privatecar')","(1, 1, 'tot')","(1, 1, 'unknowncar')","(2, 0, 'cargocar')","(2, 0, 'etc')","(2, 0, 'motorcycle')","(2, 0, 'privatecar')","(2, 0, 'tot')","(2, 0, 'unknowncar')","(3, 0, 'cargocar')","(3, 0, 'etc')","(3, 0, 'motorcycle')","(3, 0, 'privatecar')","(3, 0, 'tot')","(3, 0, 'unknowncar')","(3, 1, 'cargocar')","(3, 1, 'etc')","(3, 1, 'motorcycle')","(3, 1, 'privatecar')","(3, 1, 'tot')","(3, 1, 'unknowncar')","('A', 2)","('A', 3)","('B', 1)","('B', 3)","('C', 1)","('C', 3)",date,hour,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,dayofweek,is_holiday
0,1.0,0,0,14.0,14.0,38.0,25.0,89.0,12.0,139.0,0,0,0.0,0,0,0.0,0.0,0,2.0,0,0,17.0,17.0,21.0,59.0,202.0,8.0,231.0,0,65.775,82.84,84.84,68.02,135.79,148.723703704,2016-09-20 00:00:00,0,1013.2,1018.2,341.0,3.5,21.1,68.0,0.0,1,0
0,0.0,0,0,13.0,13.0,24.0,11.0,41.0,15.0,80.0,0,0,2.0,0,0,2.0,2.0,0,0.0,0,0,13.0,13.0,13.0,49.0,131.0,4.0,148.0,0,60.0525,83.26,81.08,136.555,140.666666667,150.606666667,2016-09-20 00:20:00,0,1013.23333333,1018.23333333,342.444444444,3.4,21.4111111111,66.8888888889,0.0,1,0
0,1.0,0,0,7.0,7.0,10.0,7.0,22.0,5.0,37.0,0,0,2.0,0,0,2.0,2.0,0,0.0,0,0,17.0,17.0,10.0,25.0,77.0,5.0,92.0,0,54.33,83.68,77.32,104.9675,145.543333333,152.48962963,2016-09-20 00:40:00,0,1013.26666667,1018.26666667,343.888888889,3.3,21.7222222222,65.7777777778,0.0,1,0
0,2.0,0,0,6.0,6.0,3.0,0.0,3.0,0.0,6.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,15.0,15.0,2.0,2.0,6.0,1.0,9.0,0,52.62,84.1,73.56,73.38,150.42,154.372592593,2016-09-20 01:00:00,1,1013.3,1018.3,345.333333333,3.2,22.0333333333,64.6666666667,0.0,1,0
0,1.0,0,0,5.0,5.0,5.0,0.0,3.0,0.0,8.0,0,0,1.0,0,0,1.0,1.0,0,2.0,0,0,14.0,14.0,2.0,1.0,8.0,0.0,10.0,0,50.91,84.52,85.2675,59.18,155.296666667,156.255555556,2016-09-20 01:20:00,1,1013.33333333,1018.33333333,346.777777778,3.1,22.3444444444,63.5555555556,0.0,1,0
0,1.0,0,0,5.0,5.0,3.0,1.0,8.0,0.0,11.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,18.0,18.0,2.0,1.0,3.0,0.0,5.0,0,58.85,109.76,96.975,44.98,160.173333333,158.138518519,2016-09-20 01:40:00,1,1013.36666667,1018.36666667,348.222222222,3.0,22.6555555556,62.4444444444,0.0,1,0
0,0.0,0,0,6.0,6.0,6.0,1.0,2.0,0.0,8.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,12.0,12.0,1.0,0.0,3.0,0.0,4.0,0,67.245,73.635,99.2366666667,30.78,165.05,160.021481481,2016-09-20 02:00:00,2,1013.4,1018.4,349.666666667,2.9,22.9666666667,61.3333333333,0.0,1,0
0,2.0,0,0,9.0,9.0,8.0,1.0,4.0,0.0,12.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,17.0,17.0,2.0,1.0,2.0,0.0,4.0,0,75.64,64.84125,101.498333333,31.7225,169.926666667,161.904444444,2016-09-20 02:20:00,2,1013.43333333,1018.43333333,351.111111111,2.8,23.2777777778,60.2222222222,0.0,1,0
0,0.0,0,0,7.0,7.0,4.0,1.0,4.0,0.0,8.0,0,0,0.0,0,0,0.0,0.0,0,3.0,0,0,13.0,13.0,5.0,1.0,3.0,0.0,8.0,0,59.8725,56.0475,103.76,32.665,174.803333333,163.787407407,2016-09-20 02:40:00,2,1013.46666667,1018.46666667,352.555555556,2.7,23.5888888889,59.1111111111,0.0,1,0
0,0.0,0,0,10.0,10.0,2.0,0.0,0.0,0.0,2.0,0,0,0.0,0,0,0.0,0.0,0,1.0,0,0,7.0,7.0,4.0,0.0,2.0,0.0,6.0,0,44.105,47.25375,110.4075,33.6075,179.68,165.67037037,2016-09-20 03:00:00,3,1013.5,1018.5,354.0,2.6,23.9,58.0,0.0,1,0
0,0.0,0,0,8.0,8.0,12.0,0.0,1.0,0.0,13.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,8.0,8.0,3.0,0.0,0.0,0.0,3.0,0,46.01,38.46,117.055,34.55,184.556666667,167.553333333,2016-09-20 03:20:00,3,1013.35555556,1018.35555556,315.444444444,2.82222222222,24.2333333333,56.3333333333,0.0,1,0
0,0.0,0,0,5.0,5.0,14.0,0.0,4.0,0.0,18.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,11.0,11.0,3.0,1.0,3.0,0.0,6.0,0,75.46,52.57,123.7025,70.31,189.433333333,169.436296296,2016-09-20 03:40:00,3,1013.21111111,1018.21111111,276.888888889,3.04444444444,24.5666666667,54.6666666667,0.0,1,0
0,0.0,0,0,11.0,11.0,13.0,0.0,7.0,0.0,20.0,0,0,0.0,0,0,0.0,0.0,0,2.0,0,0,10.0,10.0,4.0,0.0,2.0,0.0,6.0,0,43.58,66.68,130.35,48.5,194.31,171.319259259,2016-09-20 04:00:00,4,1013.06666667,1018.06666667,238.333333333,3.26666666667,24.9,53.0,0.0,1,0
0,1.0,0,0,8.0,8.0,10.0,3.0,7.0,0.0,17.0,0,0,0.0,0,0,0.0,0.0,0,0.0,0,0,9.0,9.0,3.0,3.0,3.0,0.0,6.0,0,60.94,80.79,168.23,72.37,193.68,173.202222222,2016-09-20 04:20:00,4,1012.92222222,1017.92222222,199.777777778,3.48888888889,25.2333333333,51.3333333333,0.0,1,0
